wikipedia_title,wikidata_id,party_raw,party_group
Horace T. Sanders,Q16065905,,Other
Horace Tabor,Q1385239,Republican Party,Republican
Horace Tate,Q96381243,,Other
Horace Turner,Q137433550,,Other
Horace W. Bailey,Q82074322,Republican Party,Republican
Horace W. Bozarth,Q19360479,Democratic Party,Democrat
Horace W. Palmer,Q108562113,Republican Party,Republican
Horace W. Vaughan,Q1577301,Democratic Party,Democrat
Horace W. Wilkie,Q5902215,Democratic Party,Democrat
Horace Ward,Q5902225,,Other
Horace Wheaton,Q5902244,Democratic Party,Democrat
Horace White,Q444202,Republican Party,Republican
Horace Wilder,Q5902253,Republican Party,Republican
Horacena Tate,Q5902274,Democratic Party,Democrat
Horatio Ballard,Q5902615,Democratic Party,Democrat
Horatio Beck,Q127179605,Democratic Party,Democrat
Horatio Bisbee Jr.,Q238626,Republican Party,Republican
Horatio C. Burchard,Q4419897,Republican Party,Republican
Horatio C. Claypool,Q5902639,Democratic Party,Democrat
Horatio C. Newcomb,Q5902636,Republican Party,Republican
Horatio Chriesman,Q17309164,,Other
Horatio Earle,Q5902654,,Other
Horatio F. Simrall,Q5902657,,Other
Horatio G. Fisher,Q5902685,Republican Party,Republican
Horatio G. Herrick,Q16030987,,Other
Horatio G. Knight,Q14424010,Republican Party,Republican
Horatio Gates,Q365124,,Other
Horatio J. Stow,Q5902710,Whig Party,Other
Horatio King,Q375114,Democratic Party,Democrat
Horatio N. Boshell,Q64006235,Republican Party,Republican
Horatio N. Davis,Q5902727,Republican Party,Republican
Horatio N. Smith,Q19975236,Democratic Party,Democrat
Horatio Needham,Q5902729,Democratic Party,Democrat
Horatio Seymour,Q887320,Democratic Party,Democrat
"Horatio Seymour (Erie County, New York)",Q16065559,Democratic Party,Democrat
Horatio Seymour (Vermont politician),Q6173735,Democratic-Republican Party,Democrat
Horatio T. Taylor,Q111241843,Republican Party,Republican
Horatio Washington Bruce,Q5902836,Whig Party,Other
Horatio Wells,Q5902842,Democratic Party,Democrat
Horton D. Haight,Q5906828,,Other
Hosea H. Moore,Q114151563,Democratic Party,Democrat
Hosea H. Rockwell,Q5907272,Democratic Party,Democrat
Hosea M. Knowlton,Q5907285,Republican Party,Republican
Hosea Mann,Q5907288,Republican Party,Republican
Hosea Moffitt,Q1630327,Federalist Party,Other
Hosea Stout,Q5907303,,Other
Hosea T. Botts,Q47034984,Republican Party,Republican
Hosea Townsend,Q1630330,Republican Party,Republican
Hosea W. Parker,Q1630331,Democratic Party,Democrat
Hosea Williams,Q15512904,Democratic Party,Democrat
Hostilian,Q46837,,Other
Hostosian National Independence Movement,Q5909482,Hostosian National Independence Movement,Other
Houston A.P. Bassett,Q20707955,Republican Party,Republican
Houston Flournoy,Q5916610,Republican Party,Republican
Houston Gaines,Q104433053,Republican Party,Republican
Hovey E. Copley,Q107012017,Republican Party,Republican
Howard A. Coffin,Q1631709,Republican Party,Republican
Howard A. Duncan,Q123740713,,Other
Howard A. Johnson,Q95041485,Republican Party,Republican
Howard A. Knutson,Q100138117,Republican Party,Republican
Howard A. Stephenson,Q5918949,Republican Party,Republican
Howard B. Bard,Q5919004,Democratic Party,Democrat
Howard B. Brookins Sr.,Q31039584,Democratic Party,Democrat
Howard B. Lee,Q5919019,Republican Party,Republican
Howard Baker,Q1337643,Republican Party,Republican
Howard Baker Sr.,Q1631826,Republican Party,Republican
Howard Bare,Q5919051,,Other
Howard Barnett Jr.,Q16147407,Republican Party,Republican
Howard Bayless,Q5919085,,Other
Howard Beaty,Q105565425,Republican Party,Republican
Howard Belton,Q15452311,Republican Party,Republican
Howard Berman,Q545221,Democratic Party,Democrat
Howard Bier,Q89249439,Republican Party,Republican
Howard Bland,Q128792663,Democratic Party,Democrat
Howard Brookins,Q5919178,Democratic Party,Democrat
Howard Bryant (politician),Q117248150,Democratic Party,Democrat
Howard Buffett,Q723488,Republican Party,Republican
Howard C. Anderson Jr.,Q19864222,Republican Party,Republican
Howard C. Badger,Q76688443,Republican Party,Republican
Howard C. Cook,Q5919230,Republican Party,Republican
Howard C. Lawrence,Q5919234,Republican Party,Republican
Howard C. Nielson,Q1631743,Republican Party,Republican
Howard C. Nolan Jr.,Q19564384,,Other
Howard C. Shober,Q17322338,Republican Party,Republican
Howard Cannon,Q345564,Democratic Party,Democrat
Howard Carwile,Q15459106,Democratic Party,Democrat
Howard Clendaniel,Q50846548,,Other
Howard Coble,Q1631754,Republican Party,Republican
Howard Conkling,Q92212903,Republican Party,Republican
Howard Copeland,Q63183408,Democratic Party,Democrat
Howard Cornett,Q124397387,Republican Party,Republican
Howard Cornick,Q111451018,,Other
Howard Costigan,Q5919344,Democratic Party,Democrat
Howard Cotner,Q115776202,Democratic Party,Democrat
Howard D. Taylor,Q19360657,Republican Party,Republican
Howard Dean,Q337470,Democratic Party,Democrat
Howard Dyer,Q107297042,,Other
Howard E. Armstrong,Q19841706,Republican Party,Republican
Howard E. Babbush,Q18926877,Democratic Party,Democrat
Howard E. Campbell,Q5919512,Republican Party,Republican
Howard E. Dorsey,Q5919522,Democratic Party,Democrat
Howard E. Faught,Q17479119,Democratic Party,Democrat
Howard E. Smith (Minnesota politician),Q111229855,Democratic Party,Democrat
Howard Elliott (Missouri politician),Q5919556,Republican Party,Republican
Howard F. Garrett,Q130654963,,Other
Howard F. Pellant,Q16079036,Democratic Party,Democrat
Howard Fargo,Q5919604,Republican Party,Republican
Howard Finn,Q5919623,Republican Party,Republican
Howard Forman (politician),Q27517606,,Other
Howard G. Blair,Q131824193,,Other
Howard G. Livingston,Q122910196,Democratic Party,Democrat
Howard G. Ottinger,Q111230349,,Other
Howard G. Swafford,Q17092173,Republican Party,Republican
Howard Golden,Q5919772,Democratic Party,Democrat
Howard H. Dunn,Q5919821,Republican Party,Republican
Howard H. Rainey,Q116784804,Democratic Party,Democrat
Howard I. Nelson,Q20707941,Republican Party,Republican
Howard J. Clifford,Q5919959,,Other
Howard J. Hunter III,Q59306213,Democratic Party,Democrat
Howard J. Hunter Jr.,Q5919961,,Other
Howard J. McMurray,Q1296474,Democratic Party,Democrat
Howard J. Samuels,Q12068139,Democratic Party,Democrat
Howard J. Thelin,Q16886084,Republican Party,Republican
Howard J. Whitmore Jr.,Q5919978,Republican Party,Republican
Howard Jarvis,Q15525530,Republican Party,Republican
Howard Kaloogian,Q16193184,Republican Party,Republican
Howard Knight (politician),Q5920109,Republican Party,Republican
Howard Koh,Q5920126,Democratic Party,Democrat
Howard Kupperman,Q31417050,Republican Party,Republican
Howard L. Kennedy,Q18217491,Republican Party,Republican
Howard L. Lasher,Q5920155,Democratic Party,Democrat
Howard Lee Miller,Q106046260,Democratic Party,Democrat
Howard M. Baldrige,Q1149500,Republican Party,Republican
Howard M. Snapp,Q13218881,Republican Party,Republican
Howard Marklein,Q5920317,Republican Party,Republican
Howard Mason Gore,Q881568,Republican Party,Republican
Howard Maxwell,Q60048976,Republican Party,Republican
Howard McDonnell,Q130492791,Democratic Party,Democrat
Howard McKay,Q104213907,,Other
Howard Metzenbaum,Q330165,Democratic Party,Democrat
Howard Mills III,Q5920416,Republican Party,Republican
Howard Moffett,Q136759234,,Other
Howard Mosby,Q16194215,,Other
Howard Mutchler,Q5920480,Democratic Party,Democrat
Howard N. Allen,Q101478240,Republican Party,Republican
Howard Nathaniel Lee,Q16095729,Democratic Party,Democrat
Howard Nugent,Q15998281,Republican Party,Republican
Howard Olson,Q16013719,Democratic Party,Democrat
Howard Orenstein,Q111230759,Democratic Party,Democrat
Howard Overby,Q121457367,Democratic Party,Democrat
Howard P. Anderson,Q27589862,,Other
Howard Pearl,Q118918055,Republican Party,Republican
Howard Penny Jr.,Q104440601,Republican Party,Republican
Howard Phillips (activist),Q977175,Republican Party,Republican
Howard Pollock,Q258008,Republican Party,Republican
Howard R. Bayne,Q16029153,Democratic Party,Democrat
Howard R. Mohr,Q100353956,,Other
Howard R. Slater,Q104779619,Democratic Party,Democrat
Howard R. Wood,Q5920693,Republican Party,Republican
Howard Railey,Q113149599,Republican Party,Republican
Howard Reed,Q19975108,Democratic Party,Democrat
Howard Reppert,Q32389203,Iowa Democratic Party,Democrat
Howard Revercomb,Q136554103,,Other
Howard S. Baldwin,Q24050433,Republican Party,Republican
Howard S. Bargreen,Q19360473,Democratic Party,Democrat
Howard S. O'Neill,Q115856927,,Other
Howard S. Russell,Q95747670,Republican Party,Republican
Howard Safir,Q12067856,,Other
Howard Sanderford,Q5920815,Republican Party,Republican
Howard Scipio,Q131324264,,Other
Howard Shultz Miller,Q670990,Democratic Party,Democrat
Howard Sutherland,Q473723,Republican Party,Republican
Howard Swenson,Q67163810,Republican Party of Minnesota,Republican
Howard T. Owens Jr.,Q107740000,,Other
Howard Tabor,Q116930831,Democratic Party,Democrat
Howard Teasdale,Q16025311,Republican Party,Republican
Howard Thornton,Q99543116,Republican Party,Republican
Howard V. Shaylor,Q27661973,Republican Party,Republican
Howard W. Cameron,Q5921157,Democratic Party,Democrat
Howard W. Carroll,Q22958726,Democratic Party,Democrat
Howard W. Carson,Q16013168,,Other
Howard W. Davis,Q5921161,Republican Party,Republican
Howard W. Jackson,Q5921167,Democratic Party,Democrat
Howard W. Peak,Q5921176,Republican Party,Republican
Howard W. Robison,Q13219157,Republican Party,Republican
Howard W. Smith,Q1631939,Democratic Party,Democrat
Howard W. Stull,Q13219836,Republican Party,Republican
Howard Wads Rundquist,Q111230074,,Other
Howard Walker (politician),Q16186548,Republican Party,Republican
Howard Warren Buffett,Q5921204,Democratic Party,Democrat
Howard Watts III,Q90955661,Democratic Party,Democrat
Howard Wayne,Q5921211,,Other
Howard Webster Byers,Q27662011,Republican Party,Republican
Howard Wellman,Q16106843,,Other
Howard Wetters,Q16152033,Democratic Party,Democrat
Howard Wolpe,Q995192,Democratic Party,Democrat
Howell Appling Jr.,Q5921670,Republican Party,Republican
Howell C. Featherston,Q23134988,Democratic Party,Democrat
Howell Cobb,Q878291,Democratic Party,Democrat
Howell Cobb (born 1772),Q1631977,Democratic-Republican Party,Democrat
Howell E. Jackson,Q654559,Democratic Party,Democrat
Howell Heflin,Q704244,Democratic Party,Democrat
Howell Lancaster,Q115594071,Democratic Party,Democrat
Howell Washington Runnels Sr.,Q47537836,,Other
Howie Hawkins,Q15492464,Socialist Party of the United States of America,Other
Howie Lind,Q16189307,Republican Party,Republican
Howie Morales,Q16732833,Democratic Party,Democrat
Howland Fish,Q20164372,,Other
Hoy Menear,Q131036898,Democratic Party,Democrat
Hoyt Henry Wheeler,Q5922922,Republican Party,Republican
Hoyt Patrick Taylor,Q5922940,Democratic Party,Democrat
Hoyt Patrick Taylor Jr.,Q5922943,Democratic Party,Democrat
Hoyt Sherman,Q3141659,Republican Party,Republican
Hoyt W. Lark,Q16007061,Republican Party,Republican
Hsiao Bi-khim,Q700752,Democratic Progressive Party,Democrat
Hubbard Graves,Q137375196,,Other
Hubbard R. Yetman,Q96364214,Democratic Party,Democrat
Hubert B. Scudder,Q1633053,Republican Party,Republican
Hubert Bernards,Q110517267,,Other
Hubert Collins,Q16104414,Democratic Party,Democrat
Hubert D. Considine,Q64374508,,Other
Hubert D. Stephens,Q1633109,Democratic Party,Democrat
Hubert Douglas Delany,Q110724603,Democratic Party,Democrat
Hubert E. Griggs,Q122912400,Democratic Party,Democrat
Hubert Fisher,Q1633142,Democratic Party,Democrat
Hubert G. Taylor,Q97585761,Republican Party,Republican
Hubert H. Peavey,Q1633181,Republican Party,Republican
Hubert Houser,Q5927339,Republican Party,Republican
Hubert Humphrey,Q209989,Democratic Party,Democrat
Hubert J. Loftus,Q29033172,Democratic Party,Democrat
Hubert Lavies,Q17421536,,Other
Hubert Reynolds,Q76445298,,Other
Hubert S. Ellis,Q1493922,Republican Party,Republican
Hubert Thomas Delany,Q19872594,Republican Party,Republican
Hubert Utterback,Q1278025,Democratic Party,Democrat
Hubert Vo,Q5927657,Democratic Party,Democrat
Hubert W. Woodruff,Q100277999,,Other
Hubert Work,Q368717,Republican Party,Republican
Hudie Pitts,Q122760985,,Other
Hudson Holliday,Q5928731,Republican Party,Republican
Hudson R. Sours,Q65705993,,Other
Huey Long,Q314384,Democratic Party,Democrat
Huey P. Newton,Q360570,Black Panther Party,Other
Huger Lee Foote,Q18350267,,Other
Hugh A. Butler,Q1634183,Republican Party,Republican
Hugh A. Carson,Q104602847,,Other
Hugh A. Dinsmore,Q599255,Democratic Party,Democrat
Hugh A. Haralson,Q970375,Democratic Party,Democrat
Hugh A. Harper,Q16002999,Republican Party,Republican
Hugh Alexander Crawford,Q5929816,,Other
Hugh Archer (politician),Q16066160,,Other
Hugh B. Cramer,Q116694164,Democratic Party,Democrat
Hugh B. Lindsay,Q5929932,Republican Party,Republican
Hugh Bartels,Q59179975,Republican Party,Republican
Hugh Blackwell,Q16240705,Republican Party,Republican
Hugh Boren,Q114075903,,Other
Hugh Brown Campbell Jr.,Q119377194,Democratic Party,Democrat
Hugh Buchanan (politician),Q1634238,Democratic Party,Democrat
Hugh C. Anderson,Q17352676,Democratic Party,Democrat
Hugh C. Newsome,Q104213985,,Other
Hugh C. Whiteford,Q117218144,,Other
Hugh Caperton,Q1634245,Federalist Party,Other
Hugh Carey,Q878798,Democratic Party,Democrat
Hugh Carter,Q5930275,Democratic Party,Democrat
Hugh Crawford (politician),Q16105593,Republican Party,Republican
Hugh Cregg,Q64374509,,Other
Hugh Davis Merrill,Q1567458,Democratic Party,Democrat
Hugh Davis Merrill Jr.,Q123749641,,Other
Hugh De Lacy (politician),Q1634282,Democratic Party,Democrat
Hugh Dorsey,Q1634454,Democratic Party,Democrat
Hugh Dukes,Q120733568,Democratic Party,Democrat
Hugh E. Campbell,Q94649218,,Other
Hugh Erwin,Q137380618,,Other
Hugh F. Finley,Q1634320,Republican Party,Republican
Hugh Farley,Q5930714,Republican Party,Republican
Hugh Fate,Q28137164,Republican Party,Republican
Hugh Floyd,Q19879832,Democratic Party,Democrat
Hugh French Thomason,Q1634343,Democratic Party of Arkansas,Democrat
Hugh G. Harrison,Q20963416,Republican Party,Republican
Hugh Gallen,Q1322514,Democratic Party,Democrat
Hugh Gillis,Q15993009,Democratic Party,Democrat
Hugh Glasgow,Q5930936,Democratic-Republican Party,Democrat
Hugh Green (politician),Q18715927,Republican Party,Republican
Hugh Gregg,Q1327567,Republican Party,Republican
Hugh Guernsey,Q55979118,Iowa Democratic Party,Democrat
Hugh H. Bownes,Q5930995,,Other
Hugh H. Gibson,Q135904122,,Other
Hugh H. Henry,Q83027972,Democratic Party,Democrat
Hugh H. Moore,Q5931002,Democratic Party,Democrat
Hugh H. Price,Q1634380,Republican Party,Republican
Hugh Hallman,Q16194574,Republican Party,Republican
Hugh Halsey,Q5931019,Democratic Party,Democrat
Hugh Holmes (Virginia politician),Q5931149,,Other
Hugh Ike Shott,Q6175214,Republican Party,Republican
Hugh Innes (burgess),Q76037363,,Other
Hugh J. Addonizio,Q1634414,Democratic Party,Democrat
Hugh J. Anderson,Q167233,Democratic Party,Democrat
Hugh J. Grant,Q5931233,Democratic Party,Democrat
Hugh J. Jewett,Q5883292,Democratic Party,Democrat
Hugh J. McLaughlin (politician),Q105553435,Democratic Party,Democrat
Hugh J. Rosellini,Q30070951,Democratic Party,Democrat
Hugh Kennedy (New Orleans),Q5931360,Democratic Party,Democrat
Hugh L. Nichols,Q5931408,Democratic Party,Democrat
Hugh L. White,Q882546,Democratic Party,Democrat
Hugh Lawson White,Q1634433,Democratic Party,Democrat
Hugh Lawson White Hill,Q1634437,Democratic Party,Democrat
Hugh Leatherman,Q5931330,Republican Party,Republican
Hugh Long (politician),Q20708219,Democratic Party,Democrat
Hugh M. Arant,Q111823476,Democratic Party,Democrat
Hugh M. Burns,Q94629594,Democratic Party,Democrat
Hugh M. Jones,Q16199454,Republican Party,Republican
Hugh M. Luckey,Q64006297,Republican Party,Republican
Hugh M. Rigney,Q5931569,Democratic Party,Democrat
Hugh Malone,Q28945673,Democratic Party,Democrat
Hugh Matthews (politician),Q115861982,Democratic Party,Democrat
Hugh Maxwell,Q5931704,Whig Party,Other
Hugh McElroy LaRue,Q18739203,,Other
Hugh McFarlane,Q19893240,Democratic Party,Democrat
Hugh McKean,Q28370200,Republican Party,Republican
Hugh McLaughlin (politician),Q5931844,Democratic Party,Democrat
Hugh McQueen Street,Q107310263,Democratic Party,Democrat
Hugh McVay,Q880145,Democratic Party,Democrat
Hugh Meade,Q808779,Democratic Party,Democrat
Hugh Mills (politician),Q16030498,Republican Party,Republican
Hugh Mitchell (politician),Q1634482,Democratic Party,Democrat
Hugh Moffat (politician),Q5931949,Republican Party,Republican
Hugh Morrow (businessman),Q18153501,Democratic Party,Democrat
Hugh Morrow III,Q88616699,,Other
Hugh Mulzac,Q5932056,Independent-Socialist Party,Other
Hugh Nelson (Virginia politician),Q198298,Democratic-Republican Party,Democrat
Hugh O'Brien,Q14916247,Democratic Party,Democrat
Hugh O'Bryant,Q5932121,,Other
Hugh Parmer,Q5932233,Democratic Party,Democrat
Hugh Paul Nuckolls,Q61479278,Republican Party,Republican
Hugh Peterson,Q1634511,Democratic Party,Democrat
Hugh Pierce Jamieson,Q19974754,Democratic Party,Democrat
Hugh Porter (politician),Q111950082,Republican Party,Republican
Hugh Quincy Alexander,Q263283,Democratic Party,Democrat
Hugh R. Adair,Q16333814,Democratic Party,Democrat
Hugh R. Belknap,Q4476061,Republican Party,Republican
Hugh R. Miller,Q110244913,Whig Party,Other
Hugh R. Pomeroy,Q16873312,Republican Party,Republican
Hugh Reynolds (American politician),Q5932488,Democratic Party,Democrat
Hugh Rodham (born 1911),Q16013081,Republican Party,Republican
Hugh S. Balkam,Q28051536,New Brunswick Liberal Association,Other
Hugh S. Hersman,Q375411,Democratic Party,Democrat
Hugh S. Jenkins,Q16008051,Republican Party,Republican
Hugh S. Johnson,Q1389102,,Other
Hugh S. Jordan,Q123084952,Democratic Party,Democrat
Hugh S. Legaré,Q1374183,Democratic Party,Democrat
Hugh Scott,Q467328,Republican Party,Republican
Hugh Shine,Q28420153,Republican Party,Republican
Hugh Smith Thompson,Q886120,Democratic Party,Democrat
Hugh T. Lightsey,Q19518320,Democratic Party,Democrat
Hugh Thomas Miller,Q15816127,Republican Party,Republican
Hugh W. Cross,Q15816128,Republican Party,Republican
Hugh Wade,Q1634592,Democratic Party,Democrat
Hugh Weathers,Q115326568,,Other
Hugh Webster (politician),Q16106497,Republican Party,Republican
Hugh White (New York politician),Q3408744,Whig Party,Other
Hugh White Sheffey,Q5932970,Whig Party,Other
Hugh Williamson,Q663151,Federalist Party,Other
Hughes McGill,Q134634660,,Other
Hugo Berlanga,Q27517679,Democratic Party,Democrat
Hugo Black,Q459752,Democratic Party,Democrat
Hugo Black III,Q16017698,Democratic Party,Democrat
Hugo E. Vogel,Q16067354,Democratic Party,Democrat
Hugo Farmer,Q111451157,,Other
Hugo Jeske,Q16043548,Republican Party,Republican
Hugo Magnuson,Q5934169,,Other
Hugo Pfaltz,Q18631182,Republican Party,Republican
Hugo S. Sims Jr.,Q1356413,Democratic Party,Democrat
Hugo Schnekloth,Q64374433,Republican Party of Iowa,Republican
Hugo Soto-Martinez,Q115471735,Democratic Party,Democrat
Hulan Jack,Q5935512,Democratic Party,Democrat
Huldah Hiltsley,Q131314747,Democratic Party,Democrat
Huldah Momanyi,Q131144663,Democratic Party,Democrat
Hulett C. Smith,Q365563,Democratic Party,Democrat
Human Rights Party (United States),Q1636562,Human Rights Party (United States),Other
Humberto Cortina,Q27517610,Republican Party,Republican
Humphrey H. Leavitt,Q1637249,Democratic Party,Democrat
Humphrey J. Desmond,Q16884063,Democratic Party,Democrat
Humphrey Marshall (general),Q548975,Whig Party,Other
Humphrey Marshall (politician),Q1386353,Federalist Party,Other
Humphrey Wells,Q16886502,,Other
Hung Cao,Q122988025,Republican Party,Republican
Hunt Downer,Q5943938,Republican Party,Republican
Hunter Abell,Q131470178,,Other
Hunter Andrews,Q5944251,Democratic Party,Democrat
Hunter Cantrell,Q58491086,Democratic Party,Democrat
Hunter H. Moss Jr.,Q1638124,Republican Party,Republican
Hunter Hill (politician),Q28051725,Republican Party,Republican
Hunter Meighan,Q18154306,Republican Party,Republican
Hunter S. Thompson,Q219780,,Other
Huntley N. Spaulding,Q738471,Republican Party,Republican
Hurley Goodall,Q106906068,Democratic Party,Democrat
Hurley Hall,Q21258840,Iowa Democratic Party,Democrat
Hurley W. Rudd,Q116949419,Democratic Party,Democrat
Hushang Ansary,Q5949274,Republican Party,Republican
Hussein Arab Isse,Q16730085,independent politician,Other
Hussein Samatar,Q15637635,,Other
Huston J. Lomax,Q96364225,,Other
Huston Quin,Q5950041,Republican Party,Republican
Hutchins F. Inge,Q5950604,Democratic Party,Democrat
Hutchins Gordon Burton,Q883254,Democratic-Republican Party,Democrat
Hy Kloc,Q16212207,Democratic Party,Democrat
Hyatt E. Covey,Q5952845,Republican Party,Republican
Hydee Feldstein Soto,Q115522225,,Other
Hyman E. Mintz,Q64006457,Republican Party,Republican
Hyman M. Mark,Q15999626,Republican Party,Republican
Hymen B. Mintz,Q18739776,Republican Party,Republican
Héctor A. Díaz,Q62492447,Democratic Party,Democrat
Héctor Ferrer,Q5963833,Popular Democratic Party,Democrat
Héctor Luis Acevedo,Q5963907,Popular Democratic Party,Democrat
Héctor Martínez Colón,Q5963951,New Progressive Party,Other
Héctor Martínez Maldonado,Q16200215,,Other
Héctor O'Neill,Q5788038,New Progressive Party,Other
Héctor Ruiz Martínez,Q5964042,Popular Democratic Party,Democrat
I. B. Knickerbocker,Q19561054,Republican Party,Republican
I. B. Laing,Q19360565,,Other
I. Beverly Lake Jr.,Q5967935,Republican Party,Republican
I. Clinton Kline,Q6076149,Republican Party,Republican
I. D. Fairchild,Q89064762,Democratic Party,Democrat
I. DeQuincey Newman,Q94297583,,Other
I. Grant Scott,Q28940930,Republican Party,Republican
I. Harry Checchio,Q5967986,Republican Party,Republican
I. L. Burch,Q28403670,,Other
I. L. Patterson,Q155110,Republican Party,Republican
I. P. Durfee,Q5968059,,Other
I. S. Leevy Johnson,Q18764166,Democratic Party,Democrat
I. Sam Johnson,Q106755506,Republican Party,Republican
Ian Bowles,Q5980960,Democratic Party,Democrat
Ian Brzezinski,Q5981051,,Other
Ian Calderon,Q5981090,Democratic Party,Democrat
Ian Conyers,Q27916082,Democratic Party,Democrat
Ian Goodnow,Q131676185,,Other
Ian Lovejoy,Q123377645,Republican Party,Republican
Ian Mackey,Q58754878,Democratic Party,Democrat
Ian Masters (politician),Q135038479,,Other
Ibra Charles Blackwood,Q889351,Democratic Party,Democrat
Ibraheem Samirah,Q61780749,Democratic Party,Democrat
Ibrahim Abu-Lughod,Q1423928,,Other
Icey W. Day,Q105816699,Democratic Party,Democrat
Ichabod Bartlett,Q957020,,Other
Ichabod Goodwin,Q1170255,Republican Party,Republican
Ida Ballasiotes,Q18601254,Republican Party,Republican
Ida Crouch-Hazlett,Q13562261,,Other
Ida G. Ruben,Q56486766,Democratic Party,Democrat
Ida L. Castro,Q16241017,,Other
Ida Sammis,Q5987192,Republican Party,Republican
Ida Saxton McKinley,Q238397,Republican Party,Republican
Ida Walker,Q80131124,Republican Party,Republican
Idaho Democratic Party,Q5987342,Idaho Democratic Party,Democrat
Idaho Republican Party,Q5987412,Idaho Republican Party,Republican
Idalia Lechuga-Tena,Q106387013,Democratic Party,Democrat
Idamae Garrott,Q120969959,Democratic Party,Democrat
Idus L. Fielder,Q105661640,,Other
Ignacio De La Fuente,Q5992240,Democratic Party,Democrat
Ignacio Lorenzo de Armas,Q5992346,,Other
Ignacy Jan Paderewski,Q191957,Front Morges,Other
Ignatius Elgin Shumate,Q50975340,Democratic Party,Democrat
Ignatius Klotz,Q24648693,Democratic Party,Democrat
Ignatius L. Donnelly,Q918937,Republican Party,Republican
Ikaika Hussey,Q131141673,Democratic Party,Democrat
Ikaika Olds,Q131141667,Democratic Party,Democrat
Ike Franklin Andrews,Q1658089,Democratic Party,Democrat
Ike Leggett,Q16106705,Democratic Party,Democrat
Ike Skelton,Q433891,Democratic Party,Democrat
Ike Thompson,Q16013536,Democratic Party,Democrat
Ila Marshall Cronin,Q5996854,Republican Party,Republican
Ilana Rovner,Q13560986,Republican Party,Republican
Ilana Rubel,Q16499832,Democratic Party,Democrat
Ileana Garcia,Q104520510,Republican Party,Republican
Ileana Ros-Lehtinen,Q265791,Republican Party,Republican
Ilhan Omar,Q26436159,Democratic Party,Democrat
Illinois Green Party,Q3366814,Illinois Green Party,Other
Illinois Republican Party,Q3366683,Illinois Republican Party,Republican
Illinois Solidarity Party,Q7557990,Illinois Solidarity Party,Other
Ilo Wallace,Q525020,Democratic Party,Democrat
Ilus W. Davis,Q6001293,Democratic Party,Democrat
Ima Wells,Q17627204,Democratic Party,Democrat
Iman Jodeh,Q101195275,Democratic Party,Democrat
Imani Barnes,Q120135517,Democratic Party,Democrat
Imelda Padilla,Q120064371,Democratic Party,Democrat
Ina Minjarez,Q28137189,Democratic Party,Democrat
Ina Phillips Williams,Q109365677,Republican Party,Republican
Increase Moseley,Q6015309,,Other
Increase Sumner,Q343769,Federalist Party,Other
Increase Sumner Lincoln,Q23018315,,Other
Independence Association of Puerto Rico,Q6015928,Independence Association of Puerto Rico,Other
Independence Party (United States),Q4346008,Independence Party (United States),Other
Independence Party of America,Q1897793,Independence Party of America,Other
Independence Party of Florida,Q60754299,Independence Party of Florida,Other
Independence Party of New York,Q6016157,Independence Party of New York,Other
Independent (Kuokoa) Party,Q6016318,Independent (Kuokoa) Party,Other
Independent American Party of Nevada,Q6016375,Independent American Party of Nevada,Other
Independent Citizens Movement,Q6016472,Independent Citizens Movement,Other
Independent Grassroots Party,Q106679035,Independent Grassroots Party,Other
Independent Greens of Virginia,Q6016645,Independent Greens of Virginia,Other
Independent Party (Florida),Q110652693,Independent Party (Florida),Other
Independent Party of Connecticut,Q15980808,Independent Party of Connecticut,Other
Independent Party of Delaware,Q6016975,Independent Party of Delaware,Other
Independent Party of Florida,Q85769245,Independent Party of Florida,Other
Independent Party of Louisiana,Q126029292,Independent Party of Louisiana,Other
Independent Party of Oregon,Q6016982,Independent Party of Oregon,Other
Independent Reform Party,Q16985940,Independent Reform Party,Other
Independent Republican Party (United States),Q6017106,Independent Republican Party (United States),Republican
Independent Republican Party of South Carolina,Q6017119,Independent Republican Party of South Carolina,Republican
Independent Voters Association,Q10534940,Independent Voters Association,Other
India Walton,Q107323243,,Other
Indiana Democratic Party,Q6023135,Indiana Democratic Party,Democrat
Indiana Republican Party,Q6023387,Indiana Republican Party,Republican
Indira Sheumaker,Q109425059,,Other
Industrial Union Party,Q6027771,Industrial Union Party,Other
Indya Kincannon,Q74262323,,Other
Inez Baker,Q113524244,Democratic Party,Democrat
Inez Barron,Q6028660,Democratic Party,Democrat
Inez Dickens,Q6028676,Democratic Party,Democrat
Inez Knight Allen,Q16023383,Democratic Party,Democrat
Inez Tenenbaum,Q6028719,Democratic Party,Democrat
Inez Trueman,Q6028722,Progressive Conservative Party of Manitoba,Other
Inga Willis,Q124646499,Democratic Party,Democrat
Ingenuus,Q114072,,Other
Ingolf E. Rasmus,Q19661929,Republican Party,Republican
Ingrid Burnett,Q52463494,Democratic Party,Democrat
Ingrid Sheldon,Q6033294,Republican Party,Republican
Ingvald Conrad Thoresen,Q6033465,Democratic Party,Democrat
Ingwer Hansen,Q64374417,Republican Party of Iowa,Republican
Inna Vernikov,Q109379601,Republican Party,Republican
Innis Green,Q6035804,Democratic Party,Democrat
Inola Henry,Q24248336,Democratic Party,Democrat
International Socialist Organization,Q15980865,International Socialist Organization,Other
Internationalist Workers Party (Fourth International),Q6055374,Internationalist Workers Party (Fourth International),Other
Inés Mendoza,Q431902,Popular Democratic Party,Democrat
